C5_rand_10_r0,0,421,0.0133333337,0,0,3.28679991,0.0496666655,0.0316666663,0.228094712,0.227995947,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,422,0.0266666673,0,0,3.28679991,0.049333334,0.0313333347,0.225266948,0.225190818,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,423,0.0399999991,0,0,3.28679991,0.0489999987,0.0309999995,0.221494064,0.221375123,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,424,0.0533333346,0,0,3.28679991,0.0486666672,0.0306666661,0.217370793,0.217271447,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,425,0.0666666701,0,0,3.28679991,0.0483333319,0.0303333327,0.213050455,0.212911889,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,426,0.0799999982,0,0,3.28679991,0.0480000004,0.0299999993,0.208745256,0.208606735,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,427,0.0933333337,0,0,3.28679991,0.0476666652,0.0296666659,0.204370081,0.204200506,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,428,0.106666669,0,0,3.28679991,0.0473333336,0.0293333326,0.20008792,0.199905217,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,429,0.119999997,0,0,3.28679991,0.0469999984,0.0289999992,0.195733294,0.195523903,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,430,0.13333334,0,0,3.28679991,0.0466666669,0.0286666658,0.191502631,0.191261172,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
C5_rand_10_r0,0,431,0.146666661,0,0,3.28679991,0.0463333316,0.0283333343,0.18717958,0.186919913,0,0,14,2.5,6.08058023,0,0,0,0,0,-0.934711277,-12.7048855,28.9471455,0.843601882,8.94263458,3.28679991,747.866089,65.8182983,1.28250003,0.0250000004,50,1,0.119999997,0.550000012,0.0133333337
